,timesteps,ep_reward,num_updates,episodes
63,200,-342.70785004862745,0,63
64,41,-87.20083378914498,0,64
65,37,-82.7911347218498,0,65
66,33,-61.40052463765063,0,66
67,200,-386.6341001923124,0,67
68,33,-48.55907441179665,0,68
69,21,-29.33670618793396,0,69
70,179,-325.3955435976231,0,70
71,83,-120.21181525029701,0,71
72,15,-23.52940236355129,0,72
73,38,-77.0353915988245,0,73
74,128,-212.15034707475235,0,74
75,85,-129.70303339408906,1,75
76,23,-33.834977161819246,0,76
77,200,-376.18040362143404,0,77
78,22,-39.69079873174676,0,78
79,24,-46.09461628381302,0,79
80,190,-382.0681732830813,0,80
81,24,-46.1050371666508,0,81
82,26,-41.741130143198454,0,82
83,200,-376.2572850376132,0,83
84,26,-44.53277445575439,0,84
85,28,-52.63962029395635,0,85
86,36,-66.09540116773243,0,86
87,177,-281.94163928569935,0,87
88,32,-60.83545105271986,0,88
89,200,-349.3588580501005,0,89
90,25,-47.91394902524597,0,90
91,54,-76.1768060198047,0,91
92,37,-78.75065026276222,0,92
93,156,-279.77978758153,0,93
94,200,-379.400923889241,0,94
95,33,-52.2874565459738,0,95
96,28,-60.28986986107595,0,96
97,28,-46.40616148209575,0,97
98,27,-60.46650706571826,0,98
99,55,-75.5968288698088,0,99
100,200,-356.3862753909834,1,100
101,200,-364.71908587690865,0,101
102,200,-372.10288511972135,0,102
103,21,-41.25760434708659,0,103
104,29,-39.83337544877469,0,104
105,22,-44.73574923379327,0,105
106,200,-336.27218507479796,0,106
107,26,-44.16298070302839,0,107
108,152,-226.88262554054498,0,108
109,16,-30.194310621040355,0,109
110,66,-94.34763201790838,0,110
111,200,-353.6982471315938,0,111
112,58,-75.62523317833713,0,112
113,25,-44.82885050775701,0,113
114,72,-94.68156630158884,0,114
115,104,-184.86231529579445,0,115
116,170,-288.0369923616325,0,116
117,102,-167.83448296648487,0,117
118,32,-54.79166246364162,0,118
119,15,-25.103711545911654,0,119
120,20,-41.31595727818325,0,120
121,82,-145.0845338062325,0,121
122,24,-44.66900147970312,0,122
123,94,-176.6378344294366,1,123
124,18,-33.05969338658913,0,124
125,22,-43.288258693635946,0,125
126,20,-32.062796823776736,0,126
127,23,-41.055107603408075,0,127
128,20,-35.39059419504562,0,128
129,200,-359.9052992162699,0,129
130,31,-60.71964671289649,0,130
131,23,-35.190619689162816,0,131
132,30,-60.11549645778208,0,132
133,31,-70.86509176926721,0,133
134,131,-214.65933659919398,0,134
135,20,-39.632916507400296,0,135
136,25,-32.28654405132811,0,136
137,22,-36.63673518355532,0,137
138,21,-39.54002180416227,0,138
139,107,-194.80302498362246,0,139
140,157,-295.6180665008678,0,140
141,22,-36.52859356742187,0,141
142,27,-54.28887520643144,0,142
143,23,-31.463406307856744,0,143
144,19,-27.907203553374174,0,144
145,147,-254.30846595801907,0,145
146,18,-37.30442652871965,0,146
147,165,-291.12223202937616,0,147
148,163,-295.3184780030447,0,148
149,65,-94.80420573642883,0,149
150,27,-57.18759352179512,0,150
151,97,-175.39227123930257,0,151
152,200,-350.8913178586229,0,152
153,22,-36.073037825470145,0,153
154,200,-364.87215978229403,1,154
155,200,-372.99764921603645,0,155
156,101,-180.59494431978987,0,156
157,15,-26.024431255499803,0,157
158,20,-36.696102271791,0,158
159,19,-32.75525858443282,0,159
160,200,-337.23883914167106,0,160
161,20,-40.92753070958604,0,161
162,145,-248.51599564778053,0,162
163,23,-39.12107360169809,0,163
164,25,-52.81973252141384,0,164
165,26,-49.52239563816503,0,165
166,24,-40.40331168086966,0,166
167,122,-239.58390120479226,0,167
168,153,-266.1919014411133,0,168
169,16,-25.658480999310072,0,169
170,57,-77.35910382893931,0,170
171,21,-38.21891885809767,0,171
172,27,-50.97877578497955,0,172
173,24,-42.94166675815482,0,173
174,26,-53.86535998078063,0,174
175,200,-346.10944459695764,0,175
176,21,-35.411766882560244,0,176
177,25,-47.88693079201777,0,177
178,85,-137.72146759375187,0,178
179,186,-342.179116270733,0,179
180,28,-47.91335107967865,0,180
181,20,-37.23912784342676,0,181
